subject_label	subject_id	object_label	object_id	object_source	confidence	object_source_version	predicate_id	mapping_justification	mapping_date	mapping_tool	creator_id
process	molsim:000000	process	BFO:0000015	http://purl.obolibrary.org/obo/dron.owl	0.7854926586151123	http://purl.obolibrary.org/obo/dron/releases/2024-12-20/dron.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
software	molsim:000001	software	IAO:0000010	http://purl.obolibrary.org/obo/cheminf.owl	0.788287878036499		skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
software	molsim:000001	software	MS:1000531	http://purl.obolibrary.org/obo/ms.owl	0.8111704587936401	http://purl.obolibrary.org/obo/ms/4.1.191/ms.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
preparation	molsim:000002	Preparation	NCIT:C25625	http://purl.obolibrary.org/obo/ncit.owl	0.7627094984054565	http://purl.obolibrary.org/obo/ncit/releases/2024-05-07/ncit.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
execution	molsim:000003	Execution	NCIT:C48293	http://purl.obolibrary.org/obo/ncit.owl	0.7452779412269592	http://purl.obolibrary.org/obo/ncit/releases/2024-05-07/ncit.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
analysis	molsim:000004	analysis	FBcv:0003108	http://purl.obolibrary.org/obo/fbcv.owl	0.7581891417503357	http://purl.obolibrary.org/obo/fbcv/releases/2025-02-13/fbcv.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
analysis	molsim:000004	Analysis	NCIT:C25391	http://purl.obolibrary.org/obo/ncit.owl	0.724055826663971	http://purl.obolibrary.org/obo/ncit/releases/2024-05-07/ncit.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
protonation	molsim:000005	Protonation	NCIT:C54165	http://purl.obolibrary.org/obo/ncit.owl	0.8812471032142639	http://purl.obolibrary.org/obo/ncit/releases/2024-05-07/ncit.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
protonation	molsim:000005	protonation	SBO:0000212	http://purl.obolibrary.org/obo/sbo.owl	0.8889166116714478		skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
model	molsim:000006	Model	NCIT:C16866	http://purl.obolibrary.org/obo/ado.owl	0.7588632106781006	http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
