subject_label	subject_id	object_label	object_id	object_source	confidence	object_source_version	predicate_id	mapping_justification	mapping_date	mapping_tool	creator_id
number of total residues	molsim:000320	number of residues	MS:1003043	http://purl.obolibrary.org/obo/ms.owl	0.7082703709602356	http://purl.obolibrary.org/obo/ms/4.1.191/ms.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
coefficient of determination	molsim:000358	coefficient of determination	STATO:0000564	http://purl.obolibrary.org/obo/stato.owl	0.9395133256912231	http://purl.obolibrary.org/obo/stato/releases/2025-02-23/stato.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
number of bootstrap replications	molsim:000360	number of replications	AGRO:00000324	http://purl.obolibrary.org/obo/agro.owl	0.7092270851135254	http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
pressure	molsim:000419	pressure	PATO:0001025	http://purl.obolibrary.org/obo/mco.owl	0.7474439740180969	http://purl.obolibrary.org/obo/mco/releases/2019-05-15/mco.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
pressure	molsim:000419	pressure	CVDO:0000193	http://purl.obolibrary.org/obo/cvdo.owl	1.0	http://purl.obolibrary.org/obo/cvdo/2024-05-17/cvdo.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
free fatty acid concentration	molsim:000433	free fatty acid concentration assay	OBI:0003221	http://purl.obolibrary.org/obo/obi.owl	0.7097080945968628	http://purl.obolibrary.org/obo/obi/2025-01-09/obi.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
has version	molsim:000449	has version	DCTERMS:hasVersion	http://purl.obolibrary.org/obo/gsso.owl	1.0	http://purl.obolibrary.org/obo/gsso/releases/2.0.5/gsso.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
has version	molsim:000449	has version	OIO:hasVersion	http://purl.obolibrary.org/obo/gsso.owl	1.0	http://purl.obolibrary.org/obo/gsso/releases/2.0.5/gsso.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
has version	molsim:000449	has version	SLSO:0001174	http://purl.obolibrary.org/obo/slso.owl	0.781091034412384	http://purl.obolibrary.org/obo/slso/releases/2025-02-26/slso.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
has version	molsim:000449	has version	SWO:0004000	http://purl.obolibrary.org/obo/swo.owl	0.8360522389411926	http://www.ebi.ac.uk/swo/swo/releases/2023-03-05/swo.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
has pH	molsim:000450	has pH	MICRO:0001301	http://purl.obolibrary.org/obo/micro.owl	1.0		skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
cutoff	molsim:000458	cutoff	ENVO:00000523	http://purl.obolibrary.org/obo/envo.owl	0.7566768527030945	http://purl.obolibrary.org/obo/envo/releases/2025-02-05/envo.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
cutoff	molsim:000458	Cutoff	NCIT:C47877	http://purl.obolibrary.org/obo/ncit.owl	0.8714757561683655	http://purl.obolibrary.org/obo/ncit/releases/2024-05-07/ncit.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
cutoff	molsim:000458	cutoff	STATO:0000633	http://purl.obolibrary.org/obo/stato.owl	0.9179549813270569	http://purl.obolibrary.org/obo/stato/releases/2025-02-23/stato.owl	skos:closeMatch	semapv:CompositeMatching	2025-03-06	https://github.com/CPCLab/molsim-ontology/tree/main/src/ontology/mappings/query_OBO_space.py	orcid:0000-0002-0476-9699
