Original Term,URI,Ontology Label
Lithium,http://purl.obolibrary.org/obo/CHEBI_30145,lithium atom
Sodium,http://purl.obolibrary.org/obo/CHEBI_26708,sodium atom
Potassium,http://purl.obolibrary.org/obo/CHEBI_26216,potassium atom
Rubidium,http://purl.obolibrary.org/obo/CHEBI_33322,rubidium atom
Cesium,http://purl.obolibrary.org/obo/CHEBI_30514,caesium atom
Francium,http://purl.obolibrary.org/obo/CHEBI_33323,francium atom
Beryllium,http://purl.obolibrary.org/obo/CHEBI_30501,beryllium atom
Magnesium,http://purl.obolibrary.org/obo/CHEBI_25107,magnesium atom
Calcium,http://purl.obolibrary.org/obo/CHEBI_22984,calcium atom
Strontium,http://purl.obolibrary.org/obo/CHEBI_33324,strontium atom
Barium,http://purl.obolibrary.org/obo/CHEBI_32594,barium atom
Radium,http://purl.obolibrary.org/obo/CHEBI_33325,radium atom
Scandium,http://purl.obolibrary.org/obo/CHEBI_33330,scandium atom
Titanium,http://purl.obolibrary.org/obo/CHEBI_33341,titanium atom
Vanadium,http://purl.obolibrary.org/obo/CHEBI_27698,vanadium atom
Chromium,http://purl.obolibrary.org/obo/CHEBI_28073,chromium atom
Manganese,http://purl.obolibrary.org/obo/CHEBI_18291,manganese atom
Iron,http://purl.obolibrary.org/obo/CHEBI_18248,iron atom
Cobalt,http://purl.obolibrary.org/obo/CHEBI_27638,cobalt atom
Nickel,http://purl.obolibrary.org/obo/CHEBI_28112,nickel atom
Copper,http://purl.obolibrary.org/obo/CHEBI_28694,copper atom
Zinc,http://purl.obolibrary.org/obo/CHEBI_30185,zinc(0)
Yttrium,http://purl.obolibrary.org/obo/CHEBI_33331,yttrium atom
Zirconium,http://purl.obolibrary.org/obo/CHEBI_33342,zirconium atom
Niobium,http://purl.obolibrary.org/obo/CHEBI_33344,niobium atom
Molybdenum,http://purl.obolibrary.org/obo/CHEBI_28685,molybdenum atom
Technetium,http://purl.obolibrary.org/obo/CHEBI_33353,technetium atom
Ruthenium,http://purl.obolibrary.org/obo/CHEBI_30682,ruthenium atom
Rhodium,http://purl.obolibrary.org/obo/CHEBI_33359,rhodium atom
Palladium,http://purl.obolibrary.org/obo/CHEBI_33363,palladium
Silver,http://purl.obolibrary.org/obo/CHEBI_30512,silver atom
Cadmium,http://purl.obolibrary.org/obo/CHEBI_22977,cadmium atom
Lanthanum,http://purl.obolibrary.org/obo/CHEBI_33336,lanthanum atom
Hafnium,http://purl.obolibrary.org/obo/CHEBI_33343,hafnium atom
Tantalum,http://purl.obolibrary.org/obo/CHEBI_33348,tantalum atom
Tungsten,http://purl.obolibrary.org/obo/CHEBI_27998,tungsten
Rhenium,http://purl.obolibrary.org/obo/CHEBI_49882,rhenium atom
Osmium,http://purl.obolibrary.org/obo/CHEBI_30687,osmium atom
Iridium,http://purl.obolibrary.org/obo/CHEBI_49666,iridium atom
Platinum,http://purl.obolibrary.org/obo/CHEBI_33364,platinum
Gold,http://purl.obolibrary.org/obo/CHEBI_29287,gold atom
Mercury,http://purl.obolibrary.org/obo/CHEBI_16170,mercury(0)
Actinium,http://purl.obolibrary.org/obo/CHEBI_33337,actinium atom
Rutherfordium,http://purl.obolibrary.org/obo/CHEBI_33346,rutherfordium atom
Dubnium,http://purl.obolibrary.org/obo/CHEBI_33349,dubnium atom
Seaborgium,http://purl.obolibrary.org/obo/CHEBI_33351,seaborgium atom
Bohrium,http://purl.obolibrary.org/obo/CHEBI_33355,bohrium atom
Hassium,http://purl.obolibrary.org/obo/CHEBI_33357,hassium atom
Meitnerium,http://purl.obolibrary.org/obo/CHEBI_33361,meitnerium atom
Darmstadtium,http://purl.obolibrary.org/obo/CHEBI_33367,darmstadtium
Roentgenium,http://purl.obolibrary.org/obo/CHEBI_33368,roentgenium atom
Fluorine,http://purl.obolibrary.org/obo/CHEBI_24061,fluorine atom
Chlorine,http://purl.obolibrary.org/obo/CHEBI_23116,chlorine atom
Bromine,http://purl.obolibrary.org/obo/CHEBI_33117,bromine(.)
Iodine,http://purl.obolibrary.org/obo/CHEBI_24859,iodine atom
Astatine,http://purl.obolibrary.org/obo/CHEBI_30415,astatine atom
Helium,http://purl.obolibrary.org/obo/CHEBI_30217,helium atom
Neon,http://purl.obolibrary.org/obo/CHEBI_33310,neon atom
Argon,http://purl.obolibrary.org/obo/CHEBI_49475,argon atom
Krypton,http://purl.obolibrary.org/obo/CHEBI_49696,krypton atom
Xenon,http://purl.obolibrary.org/obo/CHEBI_49957,xenon atom
Radon,http://purl.obolibrary.org/obo/CHEBI_33314,radon atom
Nihonium,http://purl.obolibrary.org/obo/CHEBI_194533,nihonium atom
Flerovium,http://purl.obolibrary.org/obo/CHEBI_194531,flerovium atom
Moscovium,http://purl.obolibrary.org/obo/CHEBI_194535,moscovium atom
Livermorium,http://purl.obolibrary.org/obo/CHEBI_194537,livermorium atom
Tennessine,http://purl.obolibrary.org/obo/CHEBI_194539,tennessine atom
Oganesson,http://purl.obolibrary.org/obo/CHEBI_194541,oganesson atom
Cerium,http://purl.obolibrary.org/obo/CHEBI_33369,cerium
Praseodymium,http://purl.obolibrary.org/obo/CHEBI_49828,praseodymium atom
Neodymium,http://purl.obolibrary.org/obo/CHEBI_33372,neodymium atom
Promethium,http://purl.obolibrary.org/obo/CHEBI_33373,promethium atom
Samarium,http://purl.obolibrary.org/obo/CHEBI_33374,samarium atom
Europium,http://purl.obolibrary.org/obo/CHEBI_32999,europium atom
Gadolinium,http://purl.obolibrary.org/obo/CHEBI_33375,gadolinium atom
Terbium,http://purl.obolibrary.org/obo/CHEBI_33376,terbium atom
Dysprosium,http://purl.obolibrary.org/obo/CHEBI_33377,dysprosium atom
Holmium,http://purl.obolibrary.org/obo/CHEBI_49648,holmium atom
Erbium,http://purl.obolibrary.org/obo/CHEBI_33379,erbium
Thulium,http://purl.obolibrary.org/obo/CHEBI_33380,thulium atom
Ytterbium,http://purl.obolibrary.org/obo/CHEBI_33381,ytterbium
Lutetium,http://purl.obolibrary.org/obo/CHEBI_33382,lutetium atom
Thorium,http://purl.obolibrary.org/obo/CHEBI_33385,thorium
Protactinium,http://purl.obolibrary.org/obo/CHEBI_33386,protactinium atom
Uranium,http://purl.obolibrary.org/obo/CHEBI_27214,uranium atom
Neptunium,http://purl.obolibrary.org/obo/CHEBI_33387,neptunium atom
Plutonium,http://purl.obolibrary.org/obo/CHEBI_33388,plutonium atom
Americium,http://purl.obolibrary.org/obo/CHEBI_33389,americium atom
Curium,http://purl.obolibrary.org/obo/CHEBI_33390,curium atom
Berkelium,http://purl.obolibrary.org/obo/CHEBI_33391,berkelium atom
Californium,http://purl.obolibrary.org/obo/CHEBI_33392,californium atom
Einsteinium,http://purl.obolibrary.org/obo/CHEBI_33393,einsteinium atom
Fermium,http://purl.obolibrary.org/obo/CHEBI_33394,fermium
Mendelevium,http://purl.obolibrary.org/obo/CHEBI_33395,mendelevium atom
Nobelium,http://purl.obolibrary.org/obo/CHEBI_33396,nobelium
Lawrencium,http://purl.obolibrary.org/obo/CHEBI_33397,lawrencium atom
Aluminium,http://purl.obolibrary.org/obo/CHEBI_28984,aluminium atom
Gallium,http://purl.obolibrary.org/obo/CHEBI_49631,gallium atom
Germanium,http://purl.obolibrary.org/obo/CHEBI_30441,germanium atom
Indium,http://purl.obolibrary.org/obo/CHEBI_30430,indium atom
Tin,http://purl.obolibrary.org/obo/CHEBI_27007,tin atom
Antimony,http://purl.obolibrary.org/obo/CHEBI_30513,antimony atom
Thallium,http://purl.obolibrary.org/obo/CHEBI_30440,thallium
Lead,http://purl.obolibrary.org/obo/CHEBI_27889,lead(0)
Bismuth,http://purl.obolibrary.org/obo/CHEBI_33301,bismuth atom
Polonium,http://purl.obolibrary.org/obo/CHEBI_33313,polonium atom
Hydrogen,http://purl.obolibrary.org/obo/CHEBI_49637,hydrogen atom
Boron,http://purl.obolibrary.org/obo/CHEBI_33609,elemental boron
Carbon,http://purl.obolibrary.org/obo/CHEBI_33415,elemental carbon
Nitrogen,http://purl.obolibrary.org/obo/CHEBI_25555,nitrogen atom
Oxygen,http://purl.obolibrary.org/obo/CHEBI_25805,oxygen atom
Silicon,http://purl.obolibrary.org/obo/CHEBI_27573,silicon atom
Phosphorus,http://purl.obolibrary.org/obo/CHEBI_28659,phosphorus atom
Sulfur,http://purl.obolibrary.org/obo/CHEBI_26833,sulfur atom
Arsenic,http://purl.obolibrary.org/obo/CHEBI_27563,arsenic atom
Selenium,http://purl.obolibrary.org/obo/CHEBI_27568,selenium atom
Tellurium,http://purl.obolibrary.org/obo/CHEBI_30452,tellurium atom
Copernicium,http://purl.obolibrary.org/obo/CHEBI_33517,copernicium atom
