Original Term,URI,Ontology Label
acetal,http://purl.obolibrary.org/obo/CHEBI_59769,acetal
acetyl group,http://purl.obolibrary.org/obo/CHEBI_40574,acetyl group
acetylide,http://purl.obolibrary.org/obo/CHEBI_73478,acetylide
acid anhydride,http://purl.obolibrary.org/obo/CHEBI_36606,acid anhydride
activating group,http://purl.obolibrary.org/obo/CHEBI_24433,group
acyl azide,http://purl.obolibrary.org/obo/CHEBI_22680,azide
acyl chloride,http://purl.obolibrary.org/obo/CHEBI_36687,acyl chloride
acyl halide,http://purl.obolibrary.org/obo/CHEBI_37579,acyl halide
acylal,,
acyloin,http://purl.obolibrary.org/obo/CHEBI_2468,secondary alpha-hydroxy ketone
acylsilane,,
alcohol,http://purl.obolibrary.org/obo/CHEBI_30879,alcohol
aldehyde,http://purl.obolibrary.org/obo/CHEBI_17478,aldehyde
aldimine,http://purl.obolibrary.org/obo/CHEBI_33271,aldimine
alkane,http://purl.obolibrary.org/obo/CHEBI_18310,alkane
alkene,http://purl.obolibrary.org/obo/CHEBI_32878,alkene
alkoxide,,
alkyl cycloalkane,http://purl.obolibrary.org/obo/CHEBI_23453,cycloalkane
alkyl nitrites,http://purl.obolibrary.org/obo/CHEBI_25549,nitrites
alkyne,http://purl.obolibrary.org/obo/CHEBI_22339,alkyne
allene,http://purl.obolibrary.org/obo/CHEBI_37601,allene
amide,http://purl.obolibrary.org/obo/CHEBI_32988,amide
amidine,http://purl.obolibrary.org/obo/CHEBI_2634,amidine
aminal,http://purl.obolibrary.org/obo/CHEBI_35412,aminal
amine oxide,http://purl.obolibrary.org/obo/CHEBI_134363,tertiary amine oxide
azide,http://purl.obolibrary.org/obo/CHEBI_22680,azide
azine,http://purl.obolibrary.org/obo/CHEBI_134360,azine
aziridine,http://purl.obolibrary.org/obo/CHEBI_30969,aziridine
azoxy,http://purl.obolibrary.org/obo/CHEBI_37390,azoxy compound
bifunctional,http://purl.obolibrary.org/obo/CHEBI_38039,Cy5-bifunctional dye
bisthiosemicarbazone,,
