"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count","removal_reason"
"&cntrl","&cntrl","A namelist in Amber input files for general simulation controls","data format|identifier","yes","16494,21720,22545,22546,22869,22886,22919,23918,24346,26990,27155,27257,27317,27457,27698,27902,28088,28992,29898,29953,30215,30297,31020,37415,37445,40319,40387,40468,49242,52672,52731,53228,53620,53943,54374,54704,54965,56160,56301,56400,57136,57244,57262,57360,57932,58431,59004,59622,63304,63977,64747,67535,96542,96682,96683,96684,98482,98518,101516,102630,102698,102796,102909,106372,106426,106481,106653,106788,106801,106805,111909,112050,112190,112292,112504,112694,112904,113012,113115,113326,113359,115199,116331,116903,116998,118523,118607,126286,126296,126308,126319,126329,126339,126362,126372,126382,126428,126578,126640,126718","139","Lower-priority member of semantic cluster led by row 1 (Champion: '&cntrl')"
"&dprc namelist","&dprc","Namelist in the Amber input file for controlling the DPRc correction","data format","yes","59667,59716,59720,59923","4","Lower-priority member of semantic cluster led by row 3 (Champion: '&dprc namelist')"
"&extpot namelist","&extpot","Namelist for controlling the external library interface","data format","yes","67553,67564,187887","3","Lower-priority member of semantic cluster led by row 6 (Champion: '&extpot namelist')"
"&pb","&pb","A namelist in Amber input files for PBSA-specific options","data format|identifier","yes","23919,24345,26998,27167,27269,27332,27469,27710,27914,28103,29004,29930,30227,30309,31032,106654,190308,190313,190986,192049,192297","21","Lower-priority member of semantic cluster led by row 9 (Champion: '&pb namelist')"
"&pb","&pb","A namelist in Amber input files for PBSA-specific options","data format|identifier","yes","23919,24345,26998,27167,27269,27332,27469,27710,27914,28103,29004,29930,30227,30309,31032,106654,190308,190313,190986,192049,192297","21","Lower-priority member of semantic cluster led by row 9 (Champion: '&pb namelist')"
"&rism","&rism","A namelist in Amber input files for 3D-RISM specific options","data format|identifier","yes","37419,37770,40359,40428,40504,190308,190314,191641,192257","9","Lower-priority member of semantic cluster led by row 11 (Champion: '&rism namelist')"
"lib file",".lib","An Amber library file containing residue topology information","data format","yes","7726,16660","2","Lower-priority member of semantic cluster led by row 12 (Champion: 'Library file')"
"12-6-4 Lennard-Jones Potential","12-6-4 Potential","An extension of the LJ potential including an ion-induced dipole term.","model","yes","98697,114355,114366,114374","4","Lower-priority member of semantic cluster led by row 403 (Champion: 'lj1264')"
"12-6-4 Lennard-Jones Potential","lj1264","Flag to use a 12-6-4 potential for specific ions.","model|method","yes","114038,114332,114341,114367,114465,119683,119688,120276","8","Lower-priority member of semantic cluster led by row 403 (Champion: 'lj1264')"
"12-6-4 Ionic Potential","12-6-4 potential","A specific potential form for modeling ion-atom interactions.","model","yes","98697,114355,114366,114374","4","Lower-priority member of semantic cluster led by row 403 (Champion: 'lj1264')"
"3D Reference Interaction Site Model","3D-RISM","A statistical mechanical theory to calculate solvent distribution functions","model|method","yes","31137,31183,31188,31227,31449,31551,31741,32013,32017,32020,32028,32033,32039,32062,32084,32190,32232,32468,32603,32659,32665,32844,33151,33172,33212,33316,33471,33514,34164,34237,34463,34466,34495,34516,34525,34585,34601,34618,34644,34679,34806,34932,34967,35010,35014,35116,35140,35142,35148,35282,35285,35334,35357,35727,36561,36572,36577,36605,36616,36650,36690,36731,36746,36775,36778,36795,36919,36978,36995,37027,37036,37039,37057,37105,37417,37442,37493,37595,37644,37649,37750,38260,39222,39327,39376,39868,40287,40315,40383,40464,40541,40550,40554,40578,41556,43046,43070,43077,43547,43560","129","Lower-priority member of semantic cluster led by row 19 (Champion: '3D-RISM')"
