[Term],[Variable],[Description],[Category1|Category2|...]
"Amber","Amber","Suite of programs for carrying out molecular dynamics simulations","software|model"
"AmberTools25","AmberTools25","A collection of freely available programs for Amber","software"
"Amber24","Amber24","Licensed simulation program component centered around pmemd","software"
"pmemd","pmemd","High-performance parallel molecular dynamics simulation program","software|algorithm"
"Force Field","force field","Empirical potential energy function for molecular systems","model"
"Molecular Dynamics","molecular dynamics","Simulation method for analyzing physical movements of atoms and molecules","method|process"
"Energy Minimization","energy minimizer","Process of finding a structure's lowest energy conformation","process|method"
"PDB Format","PDB format","Standard file format for 3D biomolecular structures","data format"
"LEaP","LEaP","Primary program to create and modify systems for Amber simulations","software"
"tleap","tleap","Command-line interface for the LEaP program","software"
"xleap","xleap","Graphical user interface for the LEaP program","software"
"pdb4amber","pdb4amber","Script to prepare PDB files for compatibility with LEaP","software|process"
"Residue Library","Residue libraries","Database of molecular topology, atom names, and charges","data source|model"
"Atom Type","atom type","A label defining an atom's force field parameters","identifier|model"
"antechamber","antechamber","Program to develop force fields for small organic molecules","software|method"
"prmtop","prmtop","Amber parameter and topology file for a molecular system","data format"
"prmcrd","prmcrd","Amber coordinate file for a molecular system","data format"
"parmed","parmed","Script to examine, verify, and modify prmtop files","software"
"mdin","mdin","Default input file specifying simulation options and parameters","data format"
"sander","sander","Basic energy minimization and molecular dynamics program in AmberTools","software|algorithm"
"cpptraj","cpptraj","Main trajectory analysis utility for post-processing simulations","software"
"pyMSMT","pyMSMT","Tool to build and validate models of metalloproteins","software|method"
"mdgx","mdgx","Generates bonded force field parameters by fitting to quantum data","software|method"
"packmol-memgen","packmol-memgen","Tool to generate membrane systems for simulation","software|method"
"pmemd.cuda","pmemd.cuda","GPU-accelerated version of the pmemd program using CUDA","software|algorithm"
"Generalized Born Model","generalized Born","An implicit solvent model for calculating solvation effects","model|method"
"gem.pmemd","gem.pmemd","A variant of pmemd for calculations with advanced force fields","software"
"AMOEBA","AMOEBA","A polarizable force field for biomolecular simulations","model"
"GEM","GEM","A polarizable force field based on the Gaussian Electrostatic Model","model"
"mdout_analyzer.py","mdout_analyzer.py","Python script to summarize simulation output files","software"
"pytraj","pytraj","Python wrapper for cpptraj enabling advanced data analysis workflows","software"
