"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"&cntrl","&cntrl","A namelist in Amber input files for general simulation controls","data format|identifier","yes","16494,21720,22545,22546,22869,22886,22919,23918,24346,26990,27155,27257,27317,27457,27698,27902,28088,28992,29898,29953,30215,30297,31020,37415,37445,40319,40387,40468,49242,52672,52731,53228,53620,53943,54374,54704,54965,56160,56301,56400,57136,57244,57262,57360,57932,58431,59004,59622,63304,63977,64747,67535,96542,96682,96683,96684,98482,98518,101516,102630,102698,102796,102909,106372,106426,106481,106653,106788,106801,106805,111909,112050,112190,112292,112504,112694,112904,113012,113115,113326,113359,115199,116331,116903,116998,118523,118607,126286,126296,126308,126319,126329,126339,126362,126372,126382,126428,126578,126640,126718","139"
"&cntrl","&cntrl","A namelist in Amber input files for general simulation controls","data format|identifier","yes","16494,21720,22545,22546,22869,22886,22919,23918,24346,26990,27155,27257,27317,27457,27698,27902,28088,28992,29898,29953,30215,30297,31020,37415,37445,40319,40387,40468,49242,52672,52731,53228,53620,53943,54374,54704,54965,56160,56301,56400,57136,57244,57262,57360,57932,58431,59004,59622,63304,63977,64747,67535,96542,96682,96683,96684,98482,98518,101516,102630,102698,102796,102909,106372,106426,106481,106653,106788,106801,106805,111909,112050,112190,112292,112504,112694,112904,113012,113115,113326,113359,115199,116331,116903,116998,118523,118607,126286,126296,126308,126319,126329,126339,126362,126372,126382,126428,126578,126640,126718","139"
"&dprc namelist","&dprc","Namelist in the Amber input file for controlling the DPRc correction","data format","yes","59667,59716,59720,59923","4"
"&dprc namelist","&dprc","Namelist in the Amber input file for controlling the DPRc correction","data format","yes","59667,59716,59720,59923","4"
"&extpot namelist","&extpot","Namelist for controlling the external library interface","data format","yes","67553,67564,187887","3"
"&extpot namelist","&extpot","A namelist for defining the parameters of an external potential","data format","yes","67553,67564,187887","3"
"&pb","&pb","A namelist in Amber input files for PBSA-specific options","data format|identifier","yes","23919,24345,26998,27167,27269,27332,27469,27710,27914,28103,29004,29930,30227,30309,31032,106654,190308,190313,190986,192049,192297","21"
"&pb","&pb","A namelist in Amber input files for PBSA-specific options","data format|identifier","yes","23919,24345,26998,27167,27269,27332,27469,27710,27914,28103,29004,29930,30227,30309,31032,106654,190308,190313,190986,192049,192297","21"
"&pb namelist","&pb","A namelist in the MMPBSA.py input file for Poisson-Boltzmann parameters","data format","yes","23919,24345,26998,27167,27269,27332,27469,27710,27914,28103,29004,29930,30227,30309,31032,106654,190308,190313,190986,192049,192297","21"
"&rism","&rism","A namelist in Amber input files for 3D-RISM specific options","data format|identifier","yes","37419,37770,40359,40428,40504,190308,190314,191641,192257","9"
