Residue_Code,Filename,MOL2_SHA256_Hash,Raw_SMILES,Raw_CID,Raw_ChEBI,Raw_Name,Canon_SMILES,Canon_CID,Canon_ChEBI,Canon_Name,Flat_SMILES,Flat_CID,Flat_ChEBI,Flat_Name
DCN,ff-nucleic-OL21.lib_DCN_sybyl.mol2,6aec7b7823b19d309f3c91e715e9e57b11b43f43bd446fc18f0b97c6813b8ec1,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1O,13711,CHEBI:15698,2'-deoxycytidine,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,13711,CHEBI:15698,2'-deoxycytidine,Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1,637,-,Cytosine deoxyribonucleoside
ASH,all_amino94.lib_ASH_sybyl.mol2,0900181ffe5eb5c8cb74266c56d8d693d373608d47d1d4471942628be1e95161,[NH][C@@H](C[C]([O])O)[C][O],,-,Compound_None,[NH][C@H]([C][O])C[C]([O])O,,-,Compound_None,[NH]C([C][O])C[C]([O])O,87966505,-,SCHEMBL6262952
G5,nucleic12.redq.lib_G5_sybyl.mol2,383c2c564da292a4f4ab00dbcd2ee1bf484c1cbd4b5c8fc1556c5967c131f15d,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1[O])O,135398635,CHEBI:16750,guanosine,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H]([O])[C@H]2O)c(=O)[nH]1,135398635,CHEBI:16750,guanosine,Nc1nc2c(ncn2C2OC(CO)C([O])C2O)c(=O)[nH]1,135402034,CHEBI:181418,"2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one"
CALA,aminoct19ipq_0.9_vac.lib_CALA_sybyl.mol2,8fbcad6b08ae6774f1044a0e1b8aa26a9b9ac12f537e071351e8699a00bc91be,[NH][C@@H](C)[C]([O-])[O-],,-,Compound_None,C[C@H]([NH])[C]([O-])[O-],,-,Compound_None,CC([NH])[C]([O-])[O-],,-,Compound_None
DTE,all_prot_nucleic10.lib_DTE_sybyl.mol2,3d1d8b4d700cc59e6b8de93352b034409544caf6266c0e853b30ed486a0cf7ef,P([O])([O])OC[C@H]1O[C@@H]([N@]2[CH][C](C)[C](O)N[C]2[O])C[C@@H]1[O],,-,Compound_None,C[C]1[CH]N([C@H]2C[C@H]([O])[C@@H](COP([O])[O])O2)[C]([O])N[C]1O,,-,Compound_None,C[C]1[CH]N(C2CC([O])C(COP([O])[O])O2)[C]([O])N[C]1O,,-,Compound_None
ARG,all_aminofb15.lib_ARG_sybyl.mol2,d79c3894d21829fa0ae8ca1c3706bcd23c6f49ea75809ba10f96272acacd7d73,[NH][C@@H](CCCN[C](N)N)[C][O],,-,Compound_None,[NH][C@H]([C][O])CCCN[C](N)N,,-,Compound_None,[NH]C([C][O])CCCN[C](N)N,146755757,-,2-amino-5-(diaminomethylamino)pentan-1-ol
ALA,all_amino94ildn.lib_ALA_sybyl.mol2,f58096c3351af72f22fdefac0c70bd8f2ae5b3dc590fbde80234e9ee9cf86c58,[NH][C@@H](C)[C][O],80307,CHEBI:78502,L-Alaninol,C[C@H]([NH])[C][O],80307,CHEBI:78502,L-Alaninol,CC([NH])[C][O],5126,CHEBI:195477,DL-Alaninol
CPHE,all_aminoct94ildn.lib_CPHE_sybyl.mol2,eff952da2c8f6b988c9e231ac92cf93be313607d6a53df1834868e9dd8d82f26,[NH][C@@H](Cc1ccccc1)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](Cc1ccccc1)[C]([O-])[O-],,-,Compound_None,[NH]C(Cc1ccccc1)[C]([O-])[O-],,-,Compound_None
HIP,all_aminoAM1.lib_HIP_sybyl.mol2,54dd127685a7a1076d20346f2dc3d9fca3bc0da79fe8e67bda649a46f607b853,[NH][C@@H](C[C]1N[CH]N[CH]1)[C][O],,-,Compound_None,[NH][C@H]([C][O])C[C]1[CH]N[CH]N1,,-,Compound_None,[NH]C([C][O])C[C]1[CH]N[CH]N1,134243510,-,SCHEMBL19852909
NVAL,all_aminontfb15.lib_NVAL_sybyl.mol2,785e7e41aacb98eb99d7c034bbe9f8a4166d656b259728d3b9a519d336059f08,[NH3+][C@@H](C(C)C)[C][O],6950585,CHEBI:195496,(2s)-2-amino-3-methyl-1-butanol,CC(C)[C@H]([NH3+])[C][O],6950585,CHEBI:195496,(2s)-2-amino-3-methyl-1-butanol,CC(C)C([NH3+])[C][O],78428241,-,(1-hydroxy-3-methylbutan-2-yl)azanium
