Filename,Residue_Code,MOL2_SHA256_Hash,Raw_InChIKey,Raw_CID,Raw_ChEBI,Raw_Name,Canon_InChIKey,Canon_CID,Canon_ChEBI,Canon_Name,Flat_InChIKey,Flat_CID,Flat_ChEBI,Flat_Name
ff-nucleic-OL21.lib_DCN_sybyl.mol2,DCN,6aec7b7823b19d309f3c91e715e9e57b11b43f43bd446fc18f0b97c6813b8ec1,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,13711,CHEBI:15698,2'-deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,13711,CHEBI:15698,2'-deoxycytidine,CKTSBUTUHBMZGZ-UHFFFAOYSA-N,637,-,Cytosine deoxyribonucleoside
all_amino94.lib_ASH_sybyl.mol2,ASH,0900181ffe5eb5c8cb74266c56d8d693d373608d47d1d4471942628be1e95161,PFXCUGSWTBOYPY-VKHMYHEASA-N,-,-,No Match,PFXCUGSWTBOYPY-VKHMYHEASA-N,-,-,No Match,PFXCUGSWTBOYPY-UHFFFAOYSA-N,-,-,No Match
nucleic12.redq.lib_G5_sybyl.mol2,G5,383c2c564da292a4f4ab00dbcd2ee1bf484c1cbd4b5c8fc1556c5967c131f15d,BAFKQQFEORMONX-UUOKFMHZSA-N,-,-,No Match,BAFKQQFEORMONX-UUOKFMHZSA-N,-,-,No Match,BAFKQQFEORMONX-UHFFFAOYSA-N,-,-,No Match
aminoct19ipq_0.9_vac.lib_CALA_sybyl.mol2,CALA,8fbcad6b08ae6774f1044a0e1b8aa26a9b9ac12f537e071351e8699a00bc91be,LJVBDUABFCNHMS-REOHCLBHSA-N,-,-,No Match,LJVBDUABFCNHMS-REOHCLBHSA-N,-,-,No Match,LJVBDUABFCNHMS-UHFFFAOYSA-N,-,-,No Match
all_prot_nucleic10.lib_DTE_sybyl.mol2,DTE,3d1d8b4d700cc59e6b8de93352b034409544caf6266c0e853b30ed486a0cf7ef,OWMWEQBORGMQPA-XLPZGREQSA-N,-,-,No Match,OWMWEQBORGMQPA-XLPZGREQSA-N,-,-,No Match,OWMWEQBORGMQPA-UHFFFAOYSA-N,-,-,No Match
all_aminofb15.lib_ARG_sybyl.mol2,ARG,d79c3894d21829fa0ae8ca1c3706bcd23c6f49ea75809ba10f96272acacd7d73,GCNYQPDQBNSQDS-YFKPBYRVSA-N,-,-,No Match,GCNYQPDQBNSQDS-YFKPBYRVSA-N,-,-,No Match,GCNYQPDQBNSQDS-UHFFFAOYSA-N,-,-,No Match
all_amino94ildn.lib_ALA_sybyl.mol2,ALA,f58096c3351af72f22fdefac0c70bd8f2ae5b3dc590fbde80234e9ee9cf86c58,YJEDTGAFJJIOGN-VKHMYHEASA-N,57465493,-,Compound_57465493,YJEDTGAFJJIOGN-VKHMYHEASA-N,57465493,-,Compound_57465493,YJEDTGAFJJIOGN-UHFFFAOYSA-N,57450536,-,Compound_57450536
all_aminoct94ildn.lib_CPHE_sybyl.mol2,CPHE,eff952da2c8f6b988c9e231ac92cf93be313607d6a53df1834868e9dd8d82f26,IGIAKSVYFDZQQI-QMMMGPOBSA-N,-,-,No Match,IGIAKSVYFDZQQI-QMMMGPOBSA-N,-,-,No Match,IGIAKSVYFDZQQI-UHFFFAOYSA-N,-,-,No Match
amino15ipq-vac_10.0.lib_ARG_sybyl.mol2,ARG,d79c3894d21829fa0ae8ca1c3706bcd23c6f49ea75809ba10f96272acacd7d73,GCNYQPDQBNSQDS-YFKPBYRVSA-N,-,-,No Match,GCNYQPDQBNSQDS-YFKPBYRVSA-N,-,-,No Match,GCNYQPDQBNSQDS-UHFFFAOYSA-N,-,-,No Match
all_aminoAM1.lib_HIP_sybyl.mol2,HIP,54dd127685a7a1076d20346f2dc3d9fca3bc0da79fe8e67bda649a46f607b853,OVMHFBBIKPRVHF-YFKPBYRVSA-N,-,-,No Match,OVMHFBBIKPRVHF-YFKPBYRVSA-N,-,-,No Match,OVMHFBBIKPRVHF-UHFFFAOYSA-N,-,-,No Match
all_aminontfb15.lib_NVAL_sybyl.mol2,NVAL,785e7e41aacb98eb99d7c034bbe9f8a4166d656b259728d3b9a519d336059f08,AZMKLWDRMGVETL-RXMQYKEDSA-O,-,-,No Match,AZMKLWDRMGVETL-RXMQYKEDSA-O,-,-,No Match,AZMKLWDRMGVETL-UHFFFAOYSA-O,-,-,No Match
all_aminoct94.lib_CASN_sybyl.mol2,CASN,e1250408fc9c8df7c129ed54aabe1c63ce5ce923f6ca83c0e5b08224c3424fd6,AGNCLEXEOGMDNY-REOHCLBHSA-N,-,-,No Match,AGNCLEXEOGMDNY-REOHCLBHSA-N,-,-,No Match,AGNCLEXEOGMDNY-UHFFFAOYSA-N,-,-,No Match
phosaa14SB.lib_PTR_sybyl.mol2,PTR,97e1ae6517175d5a4cd5887ee2766634053cfaedf156fbaeae863ba11c206840,DULOMISAWRWPAJ-QMMMGPOBSA-N,-,-,No Match,DULOMISAWRWPAJ-QMMMGPOBSA-N,-,-,No Match,DULOMISAWRWPAJ-UHFFFAOYSA-N,-,-,No Match
amino12.lib_GLN_sybyl.mol2,GLN,309b83989a865c45c67b3a43f1b40a9c8cd6428afeb504f1b1484e91db6cafee,MIURNHNTSCFDPI-BYPYZUCNSA-N,-,-,No Match,MIURNHNTSCFDPI-BYPYZUCNSA-N,-,-,No Match,MIURNHNTSCFDPI-UHFFFAOYSA-N,-,-,No Match
amino19ipq_0.9_pol.lib_MTB_sybyl.mol2,MTB,10b0d23913b58ede5a85a363191132665bff0829ca9087ce9d00ca239265f109,QSLPNSWXUQHVLP-UHFFFAOYSA-N,123247,-,RefChem:1089718,QSLPNSWXUQHVLP-UHFFFAOYSA-N,123247,-,RefChem:1089718,QSLPNSWXUQHVLP-UHFFFAOYSA-N,123247,-,RefChem:1089718
aminont12.redq.lib_NHIP_sybyl.mol2,NHIP,abc4a972d7ea2393d93454ec9890f2ecfefc5d8fdc61e0ca94a7f03b57a3282e,RUSOWVZWJOGQDN-YFKPBYRVSA-O,-,-,No Match,RUSOWVZWJOGQDN-YFKPBYRVSA-O,-,-,No Match,RUSOWVZWJOGQDN-UHFFFAOYSA-O,-,-,No Match
all_nucleic94.nmr.lib_RG3_sybyl.mol2,RG3,f069012f64215335983746d413cb529357d27ca15e8c454882d6a31fccabc783,KMKGBSPFTBSFJJ-UUOKFMHZSA-N,16133029,-,Compound_16133029,KMKGBSPFTBSFJJ-UUOKFMHZSA-N,16133029,-,Compound_16133029,KMKGBSPFTBSFJJ-UHFFFAOYSA-N,71327199,-,"[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxido-oxophosphanium"
mod_amino19.lib_CNX_sybyl.mol2,CNX,db4e094f6b34f3410ceeada813f5ea2a071c8be23f9ed4789a0a7aa42d7f1ed4,NLUVALKIHFKVNS-SNVBAGLBSA-N,-,-,No Match,NLUVALKIHFKVNS-SNVBAGLBSA-N,-,-,No Match,NLUVALKIHFKVNS-UHFFFAOYSA-N,-,-,No Match
all_amino03.lib_ARG_sybyl.mol2,ARG,d79c3894d21829fa0ae8ca1c3706bcd23c6f49ea75809ba10f96272acacd7d73,GCNYQPDQBNSQDS-YFKPBYRVSA-N,-,-,No Match,GCNYQPDQBNSQDS-YFKPBYRVSA-N,-,-,No Match,GCNYQPDQBNSQDS-UHFFFAOYSA-N,-,-,No Match
amberdyes.lib_L1R_sybyl.mol2,L1R,6c3a4b012894e821c2705282f92e523f1e5b9c0643b15b731e374f0f96a3550c,QTHDFEALKOSCDZ-LURJTMIESA-N,-,-,No Match,QTHDFEALKOSCDZ-LURJTMIESA-N,-,-,No Match,QTHDFEALKOSCDZ-UHFFFAOYSA-N,-,-,No Match
lipid21.lib_PGR_sybyl.mol2,PGR,6a80005d483df83a81cfcb1baaa7546a21b92dd7579e38e05a636f72c0321254,XJFOYBQBXFHMJC-HTQZYQBOSA-N,-,-,No Match,XJFOYBQBXFHMJC-HTQZYQBOSA-N,-,-,No Match,XJFOYBQBXFHMJC-UHFFFAOYSA-N,-,-,No Match
aminoct10.lib_CHID_sybyl.mol2,CHID,059ed679a249fcced34c852e93289e5a2842fd062630f89c35a9f9f2ee50be44,DLSSAWVFOWPTSG-YFKPBYRVSA-N,-,-,No Match,DLSSAWVFOWPTSG-YFKPBYRVSA-N,-,-,No Match,DLSSAWVFOWPTSG-UHFFFAOYSA-N,-,-,No Match
all_nucleic94.lib_DT3_sybyl.mol2,DT3,ef7610d139d0c99d155c2e53a0f59b50802d04ed6c099cb2e9791ee10a114b80,OULYLPFBAGNSOL-XLPZGREQSA-N,10835228,-,2q7u,OULYLPFBAGNSOL-XLPZGREQSA-N,10835228,-,2q7u,OULYLPFBAGNSOL-UHFFFAOYSA-N,147873099,-,"[3-hydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-oxido-oxophosphanium"
uni_amino03.lib_VAL_sybyl.mol2,VAL,4ba1e7e557d0456732a98cba797e3a4b440c6da207ec8dd542a8388b86450538,RBEZQCJWTUMOFP-RXMQYKEDSA-N,-,-,No Match,RBEZQCJWTUMOFP-RXMQYKEDSA-N,-,-,No Match,RBEZQCJWTUMOFP-UHFFFAOYSA-N,-,-,No Match
nucleic10.lib_OHE_sybyl.mol2,OHE,376175f7ace1fdfb59c13ea17600e6d948502c006a07d5257e9a15a74f92947a,TUJKJAMUKRIRHC-UHFFFAOYSA-N,157350,CHEBI:29191,Hydroxyl radical,TUJKJAMUKRIRHC-UHFFFAOYSA-N,157350,CHEBI:29191,Hydroxyl radical,TUJKJAMUKRIRHC-UHFFFAOYSA-N,157350,CHEBI:29191,Hydroxyl radical
amino12.lib_THR_sybyl.mol2,THR,d4c1a5ec2a6af8a57791c109776cde10d2dedcc93d169263a60f492f0e954638,MTCLYPUKZZBZPY-QWWZWVQMSA-N,57452850,-,Compound_57452850,MTCLYPUKZZBZPY-QWWZWVQMSA-N,57452850,-,Compound_57452850,MTCLYPUKZZBZPY-UHFFFAOYSA-N,76540604,-,Compound_76540604
uni_amino03.lib_ARG_sybyl.mol2,ARG,e263af33f4c5a6162ce01153a5b4658554e978cf0419009464a07f854d05c4c8,XWUUOTSHTYSSFK-YFKPBYRVSA-N,-,-,No Match,XWUUOTSHTYSSFK-YFKPBYRVSA-N,-,-,No Match,XWUUOTSHTYSSFK-UHFFFAOYSA-N,-,-,No Match
all_modrna08.lib_4SU_sybyl.mol2,4SU,6c067ba892541fb5546cb92a143f9e526a76ca98ac99a16f69a03d91e78b7807,UXQJGDIBKHMDNR-XVFCMESISA-N,-,-,No Match,UXQJGDIBKHMDNR-XVFCMESISA-N,-,-,No Match,UXQJGDIBKHMDNR-UHFFFAOYSA-N,-,-,No Match
aminoct19ipq_0.9_pol.lib_CGLH_sybyl.mol2,CGLH,bad216dbbed8dfd83d06e599e5ee5ac1405bdb9109c7352626eebd08a1074744,IKCWVUGPCQFTQJ-VKHMYHEASA-N,-,-,No Match,IKCWVUGPCQFTQJ-VKHMYHEASA-N,-,-,No Match,IKCWVUGPCQFTQJ-UHFFFAOYSA-N,-,-,No Match
amberdyes.lib_L2C_sybyl.mol2,L2C,d8547aae43e51e8aa07a4a3e5b619f9cac57ccee1877642db102ac1f536b7a62,YRVCPDPASTVUBB-VIFPVBQESA-N,-,-,No Match,YRVCPDPASTVUBB-VIFPVBQESA-N,-,-,No Match,YRVCPDPASTVUBB-UHFFFAOYSA-N,-,-,No Match
RNA.lib_C_sybyl.mol2,C,4aab088808261e306290fd739258414d2334e7e527437a9d74c8e99e0f8b1722,HDRBRFAOJXGRGI-XVFCMESISA-N,-,-,No Match,HDRBRFAOJXGRGI-XVFCMESISA-N,-,-,No Match,HDRBRFAOJXGRGI-UHFFFAOYSA-N,-,-,No Match
GLYCAM_amino_06j_12SB.lib_HYP_sybyl.mol2,HYP,c0675d79598cf416915f573eb89bb6d8bf0a64b81254bbd721216f8005b8af4f,JZSNXFGNRCIEFO-CRCLSJGQSA-N,-,-,No Match,JZSNXFGNRCIEFO-CRCLSJGQSA-N,-,-,No Match,JZSNXFGNRCIEFO-UHFFFAOYSA-N,-,-,No Match
amino19ipq_0.9_pol.lib_NLE_sybyl.mol2,NLE,a6813081b467bc8d35a4f526431b5bbfe6751d57e3891f7402ac0763d3107899,YPXXWXJCIVTEIK-LURJTMIESA-N,-,-,No Match,YPXXWXJCIVTEIK-LURJTMIESA-N,-,-,No Match,YPXXWXJCIVTEIK-UHFFFAOYSA-N,-,-,No Match
RNA.YIL.lib_RG3_sybyl.mol2,RG3,f069012f64215335983746d413cb529357d27ca15e8c454882d6a31fccabc783,KMKGBSPFTBSFJJ-UUOKFMHZSA-N,16133029,-,Compound_16133029,KMKGBSPFTBSFJJ-UUOKFMHZSA-N,16133029,-,Compound_16133029,KMKGBSPFTBSFJJ-UHFFFAOYSA-N,71327199,-,"[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxido-oxophosphanium"
nucleic12.lib_DG5_sybyl.mol2,DG5,d19346732d86a6e8c026ab022f90a437e348584402562b99cd778c411f580370,YBYFEKOWCAGMFW-KVQBGUIXSA-N,-,-,No Match,YBYFEKOWCAGMFW-KVQBGUIXSA-N,-,-,No Match,YBYFEKOWCAGMFW-UHFFFAOYSA-N,-,-,No Match
amino14ipq.lib_PHE_sybyl.mol2,PHE,2016a9fc36afbc0a3d5a74a5313287f84d7462ebd6a0492b0db75b1d64962cd4,JPYXGDGSTUQBEH-VIFPVBQESA-N,57449697,-,Compound_57449697,JPYXGDGSTUQBEH-VIFPVBQESA-N,57449697,-,Compound_57449697,JPYXGDGSTUQBEH-UHFFFAOYSA-N,76540547,-,Compound_76540547
all_modrna08.lib_QMG_sybyl.mol2,QMG,e82fe35be77ecb265542ccbc754f239864f421d9fd071c9b9120330fa0c8858c,SOBVSFBJVFYRIU-QMSBVXCLSA-N,-,-,No Match,SOBVSFBJVFYRIU-QMSBVXCLSA-N,-,-,No Match,SOBVSFBJVFYRIU-UHFFFAOYSA-N,-,-,No Match
all_aminoPM3.lib_ASP_sybyl.mol2,ASP,44114581945be53c261b0e6dfd0ec2a758fa570a409b5b7a7053c159843e9690,NMWYRIQFXAFVJK-VKHMYHEASA-N,-,-,No Match,NMWYRIQFXAFVJK-VKHMYHEASA-N,-,-,No Match,NMWYRIQFXAFVJK-UHFFFAOYSA-N,-,-,No Match
uni_aminoct03.lib_CSER_sybyl.mol2,CSER,32f3f8285b0ae7c90d46b9783575848010ba280d0642754c4edcdf9bc49d7187,QRUZZIXVKOGMHC-REOHCLBHSA-N,-,-,No Match,QRUZZIXVKOGMHC-REOHCLBHSA-N,-,-,No Match,QRUZZIXVKOGMHC-UHFFFAOYSA-N,-,-,No Match
xFPchromophores.lib_CH6_sybyl.mol2,CH6,2f5ce3d4737707067fb53797cc314c649e661c07f3ccd374953d57c0988e3cae,HRUQFFZNCSJNHX-UHFFFAOYSA-M,-,-,No Match,HRUQFFZNCSJNHX-UHFFFAOYSA-M,-,-,No Match,HRUQFFZNCSJNHX-UHFFFAOYSA-M,-,-,No Match
