Filename,Residue_Code,MOL2_SHA256_Hash,Raw_SMILES,Raw_CID,Raw_ChEBI,Raw_Name,Canon_SMILES,Canon_CID,Canon_ChEBI,Canon_Name,Flat_SMILES,Flat_CID,Flat_ChEBI,Flat_Name
ff-nucleic-OL21.lib_DCN_sybyl.mol2,DCN,6aec7b7823b19d309f3c91e715e9e57b11b43f43bd446fc18f0b97c6813b8ec1,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1O,13711,CHEBI:15698,2'-deoxycytidine,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,13711,CHEBI:15698,2'-deoxycytidine,Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1,637,-,Cytosine deoxyribonucleoside
all_amino94.lib_ASH_sybyl.mol2,ASH,0900181ffe5eb5c8cb74266c56d8d693d373608d47d1d4471942628be1e95161,[NH][C@@H](C[C]([O])O)[C][O],None,-,Compound_None,[NH][C@H]([C][O])C[C]([O])O,None,-,Compound_None,[NH]C([C][O])C[C]([O])O,87966505,-,SCHEMBL6262952
nucleic12.redq.lib_G5_sybyl.mol2,G5,383c2c564da292a4f4ab00dbcd2ee1bf484c1cbd4b5c8fc1556c5967c131f15d,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1[O])O,135398635,CHEBI:16750,guanosine,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H]([O])[C@H]2O)c(=O)[nH]1,135398635,CHEBI:16750,guanosine,Nc1nc2c(ncn2C2OC(CO)C([O])C2O)c(=O)[nH]1,135402034,CHEBI:181418,"2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one"
aminoct19ipq_0.9_vac.lib_CALA_sybyl.mol2,CALA,8fbcad6b08ae6774f1044a0e1b8aa26a9b9ac12f537e071351e8699a00bc91be,[NH][C@@H](C)[C]([O-])[O-],None,-,Compound_None,C[C@H]([NH])[C]([O-])[O-],None,-,Compound_None,CC([NH])[C]([O-])[O-],None,-,Compound_None
all_prot_nucleic10.lib_DTE_sybyl.mol2,DTE,3d1d8b4d700cc59e6b8de93352b034409544caf6266c0e853b30ed486a0cf7ef,P([O])([O])OC[C@H]1O[C@@H]([N@]2[CH][C](C)[C](O)N[C]2[O])C[C@@H]1[O],None,-,Compound_None,C[C]1[CH]N([C@H]2C[C@H]([O])[C@@H](COP([O])[O])O2)[C]([O])N[C]1O,None,-,Compound_None,C[C]1[CH]N(C2CC([O])C(COP([O])[O])O2)[C]([O])N[C]1O,None,-,Compound_None
all_aminofb15.lib_ARG_sybyl.mol2,ARG,d79c3894d21829fa0ae8ca1c3706bcd23c6f49ea75809ba10f96272acacd7d73,[NH][C@@H](CCCN[C](N)N)[C][O],None,-,Compound_None,[NH][C@H]([C][O])CCCN[C](N)N,None,-,Compound_None,[NH]C([C][O])CCCN[C](N)N,146755757,-,2-amino-5-(diaminomethylamino)pentan-1-ol
all_amino94ildn.lib_ALA_sybyl.mol2,ALA,f58096c3351af72f22fdefac0c70bd8f2ae5b3dc590fbde80234e9ee9cf86c58,[NH][C@@H](C)[C][O],80307,CHEBI:78502,L-Alaninol,C[C@H]([NH])[C][O],80307,CHEBI:78502,L-Alaninol,CC([NH])[C][O],5126,CHEBI:195477,DL-Alaninol
all_aminoct94ildn.lib_CPHE_sybyl.mol2,CPHE,eff952da2c8f6b988c9e231ac92cf93be313607d6a53df1834868e9dd8d82f26,[NH][C@@H](Cc1ccccc1)[C]([O-])[O-],None,-,Compound_None,[NH][C@@H](Cc1ccccc1)[C]([O-])[O-],None,-,Compound_None,[NH]C(Cc1ccccc1)[C]([O-])[O-],None,-,Compound_None
amino15ipq-vac_10.0.lib_ARG_sybyl.mol2,ARG,d79c3894d21829fa0ae8ca1c3706bcd23c6f49ea75809ba10f96272acacd7d73,[NH][C@@H](CCCN[C](N)N)[C][O],None,-,Compound_None,[NH][C@H]([C][O])CCCN[C](N)N,None,-,Compound_None,[NH]C([C][O])CCCN[C](N)N,146755757,-,2-amino-5-(diaminomethylamino)pentan-1-ol
all_aminoAM1.lib_HIP_sybyl.mol2,HIP,54dd127685a7a1076d20346f2dc3d9fca3bc0da79fe8e67bda649a46f607b853,[NH][C@@H](C[C]1N[CH]N[CH]1)[C][O],None,-,Compound_None,[NH][C@H]([C][O])C[C]1[CH]N[CH]N1,None,-,Compound_None,[NH]C([C][O])C[C]1[CH]N[CH]N1,134243510,-,SCHEMBL19852909
all_aminontfb15.lib_NVAL_sybyl.mol2,NVAL,785e7e41aacb98eb99d7c034bbe9f8a4166d656b259728d3b9a519d336059f08,[NH3+][C@@H](C(C)C)[C][O],6950585,CHEBI:195496,(2s)-2-amino-3-methyl-1-butanol,CC(C)[C@H]([NH3+])[C][O],6950585,CHEBI:195496,(2s)-2-amino-3-methyl-1-butanol,CC(C)C([NH3+])[C][O],78428241,-,(1-hydroxy-3-methylbutan-2-yl)azanium
all_aminoct94.lib_CASN_sybyl.mol2,CASN,e1250408fc9c8df7c129ed54aabe1c63ce5ce923f6ca83c0e5b08224c3424fd6,[NH][C@@H](CC(=O)N)[C]([O-])[O-],None,-,Compound_None,[NH][C@@H](CC(N)=O)[C]([O-])[O-],None,-,Compound_None,[NH]C(CC(N)=O)[C]([O-])[O-],None,-,Compound_None
phosaa14SB.lib_PTR_sybyl.mol2,PTR,97e1ae6517175d5a4cd5887ee2766634053cfaedf156fbaeae863ba11c206840,[NH][C@@H](Cc1ccc(cc1)O[P]([O])([O])[O])[C][O],None,-,Compound_None,[NH][C@H]([C][O])Cc1ccc(O[P]([O])([O])[O])cc1,None,-,Compound_None,[NH]C([C][O])Cc1ccc(O[P]([O])([O])[O])cc1,None,-,Compound_None
amino12.lib_GLN_sybyl.mol2,GLN,309b83989a865c45c67b3a43f1b40a9c8cd6428afeb504f1b1484e91db6cafee,[NH][C@@H](CC[C]([O])N)[C][O],None,-,Compound_None,[NH][C@H]([C][O])CC[C](N)[O],None,-,Compound_None,[NH]C([C][O])CC[C](N)[O],None,-,Compound_None
amino19ipq_0.9_pol.lib_MTB_sybyl.mol2,MTB,10b0d23913b58ede5a85a363191132665bff0829ca9087ce9d00ca239265f109,[S]C,878,CHEBI:16007,methanethiol,C[S],878,CHEBI:16007,methanethiol,C[S],878,CHEBI:16007,methanethiol
aminont12.redq.lib_NHIP_sybyl.mol2,NHIP,abc4a972d7ea2393d93454ec9890f2ecfefc5d8fdc61e0ca94a7f03b57a3282e,[NH3+][C@@H](C[C]1N[CH]N[CH]1)[C][O],None,-,Compound_None,[NH3+][C@H]([C][O])C[C]1[CH]N[CH]N1,None,-,Compound_None,[NH3+]C([C][O])C[C]1[CH]N[CH]N1,None,-,Compound_None
all_nucleic94.nmr.lib_RG3_sybyl.mol2,RG3,f069012f64215335983746d413cb529357d27ca15e8c454882d6a31fccabc783,[P](=O)([O])OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1O)O,135566260,-,SCHEMBL186043,Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P]([O])=O)[C@@H](O)[C@H]2O)c(=O)[nH]1,135566260,-,SCHEMBL186043,Nc1nc2c(ncn2C2OC(CO[P]([O])=O)C(O)C2O)c(=O)[nH]1,167300771,-,SCHEMBL24865920
mod_amino19.lib_CNX_sybyl.mol2,CNX,db4e094f6b34f3410ceeada813f5ea2a071c8be23f9ed4789a0a7aa42d7f1ed4,[NH][C@@H](CSSC[C]1C(C)(C)N([O])C(C)(C)[CH]1)[C][O],None,-,Compound_None,CC1(C)[CH][C](CSSC[C@H]([NH])[C][O])C(C)(C)N1[O],None,-,Compound_None,CC1(C)[CH][C](CSSCC([NH])[C][O])C(C)(C)N1[O],None,-,Compound_None
all_amino03.lib_ARG_sybyl.mol2,ARG,d79c3894d21829fa0ae8ca1c3706bcd23c6f49ea75809ba10f96272acacd7d73,[NH][C@@H](CCCN[C](N)N)[C][O],None,-,Compound_None,[NH][C@H]([C][O])CCCN[C](N)N,None,-,Compound_None,[NH]C([C][O])CCCN[C](N)N,146755757,-,2-amino-5-(diaminomethylamino)pentan-1-ol
amberdyes.lib_L1R_sybyl.mol2,L1R,6c3a4b012894e821c2705282f92e523f1e5b9c0643b15b731e374f0f96a3550c,[C@@H](CCCC[NH])([NH])[C][O],11607920,CHEBI:189186,Lysol,[NH]CCCC[C@H]([NH])[C][O],11607920,CHEBI:189186,Lysol,[NH]CCCCC([NH])[C][O],11194353,-,"1-Hexanol, 2,6-diamino-"
lipid21.lib_PGR_sybyl.mol2,PGR,6a80005d483df83a81cfcb1baaa7546a21b92dd7579e38e05a636f72c0321254,[C](=O)OC[C@H](CO[P](OC[C@H](O)CO)([O])[O])O[C]=O,None,-,Compound_None,[O][P]([O])(OC[C@H](O)CO)OC[C@@H](CO[C]=O)O[C]=O,None,-,Compound_None,[O][P]([O])(OCC(O)CO)OCC(CO[C]=O)O[C]=O,None,-,Compound_None
aminoct10.lib_CHID_sybyl.mol2,CHID,059ed679a249fcced34c852e93289e5a2842fd062630f89c35a9f9f2ee50be44,[NH][C@@H](CC1=CN=CN1)[C]([O-])[O-],None,-,Compound_None,[NH][C@@H](Cc1cnc[nH]1)[C]([O-])[O-],None,-,Compound_None,[NH]C(Cc1cnc[nH]1)[C]([O-])[O-],None,-,Compound_None
all_nucleic94.lib_DT3_sybyl.mol2,DT3,ef7610d139d0c99d155c2e53a0f59b50802d04ed6c099cb2e9791ee10a114b80,[P](=O)([O])OC[C@H]1O[C@@H](N2C=C(C)C(=O)NC2=O)C[C@@H]1O,6398342,-,SCHEMBL1764557,Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P]([O])=O)O2)c(=O)[nH]c1=O,6398342,-,SCHEMBL1764557,Cc1cn(C2CC(O)C(CO[P]([O])=O)O2)c(=O)[nH]c1=O,21983245,-,SCHEMBL10169519
uni_amino03.lib_VAL_sybyl.mol2,VAL,4ba1e7e557d0456732a98cba797e3a4b440c6da207ec8dd542a8388b86450538,[NH][C@@H]([C]([C])[C])[C][O],640993,-,L-Valinol,[C][C]([C])[C@H]([NH])[C][O],640993,-,L-Valinol,[C][C]([C])C([NH])[C][O],79019,CHEBI:183239,Valinol
nucleic10.lib_OHE_sybyl.mol2,OHE,376175f7ace1fdfb59c13ea17600e6d948502c006a07d5257e9a15a74f92947a,[OH],962,CHEBI:15377,water,[OH],962,CHEBI:15377,water,[OH],962,CHEBI:15377,water
amino12.lib_THR_sybyl.mol2,THR,d4c1a5ec2a6af8a57791c109776cde10d2dedcc93d169263a60f492f0e954638,[NH][C@@H]([C@@H](C)O)[C][O],2033049,-,threoninol,C[C@@H](O)[C@H]([NH])[C][O],2033049,-,threoninol,CC(O)C([NH])[C][O],5068681,-,"2-aminobutane-1,3-diol"
uni_amino03.lib_ARG_sybyl.mol2,ARG,e263af33f4c5a6162ce01153a5b4658554e978cf0419009464a07f854d05c4c8,[NH][C@@H]([C][C][C]N[C](N)N)[C][O],None,-,Compound_None,[NH][C@H]([C][O])[C][C][C]N[C](N)N,None,-,Compound_None,[NH]C([C][O])[C][C][C]N[C](N)N,146755757,-,2-amino-5-(diaminomethylamino)pentan-1-ol
all_modrna08.lib_4SU_sybyl.mol2,4SU,6c067ba892541fb5546cb92a143f9e526a76ca98ac99a16f69a03d91e78b7807,P([O])([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])[N@]1[C]([O])N[C]([S])[CH][CH]1,None,-,Compound_None,[O][C]1N[C]([S])[CH][CH]N1[C@@H]1O[C@H](COP([O])[O])[C@@H]([O])[C@H]1O,None,-,Compound_None,[O][C]1N[C]([S])[CH][CH]N1C1OC(COP([O])[O])C([O])C1O,None,-,Compound_None
aminoct19ipq_0.9_pol.lib_CGLH_sybyl.mol2,CGLH,bad216dbbed8dfd83d06e599e5ee5ac1405bdb9109c7352626eebd08a1074744,[NH][C@@H](CCC(=O)O)[C]([O-])[O-],None,-,Compound_None,[NH][C@@H](CCC(=O)O)[C]([O-])[O-],None,-,Compound_None,[NH]C(CCC(=O)O)[C]([O-])[O-],None,-,Compound_None
amberdyes.lib_L2C_sybyl.mol2,L2C,d8547aae43e51e8aa07a4a3e5b619f9cac57ccee1877642db102ac1f536b7a62,[C@@H](CCCCN[C](CCC[N]C)[O])([NH])[C]([O-])[O-],None,-,Compound_None,C[N]CCC[C]([O])NCCCC[C@H]([NH])[C]([O-])[O-],None,-,Compound_None,C[N]CCC[C]([O])NCCCCC([NH])[C]([O-])[O-],None,-,Compound_None
RNA.lib_C_sybyl.mol2,C,4aab088808261e306290fd739258414d2334e7e527437a9d74c8e99e0f8b1722,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1[O])O,18653297,-,SCHEMBL584613,Nc1ccn([C@@H]2O[C@H](CO[P]([O])=O)[C@@H]([O])[C@H]2O)c(=O)n1,18653297,-,SCHEMBL584613,Nc1ccn(C2OC(CO[P]([O])=O)C([O])C2O)c(=O)n1,21988979,-,"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxy-oxophosphanium"
