Filename,Residue_Code,File_Hash,Fragment_SMILES,Frag_Heavy_Atoms,Parent_Heavy_Atoms,Delta_atom_count,Parent_CID,Parent_ChEBI,Parent_Name,Match_Method
RNA.YIL.lib_RG_sybyl.mol2,RG,855335c2bb34a8f73270eb4a84eb46922670ba175021d1f6e5897e40986b3adb,[P](=O)([O])OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1[O])O,23,23,0,135398570,CHEBI:16356,7665-99-8,Substructure
nucleic12.ROC-RNA.lib_U_sybyl.mol2,U,a3f2ab7c8e546faa24392bcae081a3081071b3ce8b7565532fb4cfd297c2a0e0,P([O])([O])OC[C@H]1O[C@@H]([N@]2[CH][CH][C]([O])N[C]2[O])[C@@H]([C@@H]1[O])O,20,42,22,5326480,-,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-[(3R)-7-hydroxy-1-oxa-4,8-diazaspiro[2.5]octan-4-yl]oxolan-2-yl]methyl [(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] hydrogen phosphate",Substructure
all_amino94.lib_CYM_sybyl.mol2,CYM,228c550c167df9c7645230d7370f75b8667241bf3444307e991b05610693ea0e,[NH][C@@H](C[S])[C][O],6,11,5,160931510,-,(2R)-2-azaniumyl-3-(2-chloroethylsulfanyl)propanoate;hydrochloride,Substructure
nab.lib_UN_sybyl.mol2,UN,3d928dd34656eafada39fbb6f41aa4163becd6cc2a7ee6b6ad836cffb3566d3f,OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1O)O,17,17,0,6029,CHEBI:16704,uridine,Substructure
aminont19ipq_0.9_pol.lib_NTYR_sybyl.mol2,NTYR,413b48b013145740a43b8949fe8e97bcbfc6372f72dc88cd2e0d8cd0f360fb51,[NH3+][C@@H](Cc1ccc(O)cc1)[C][O],12,13,1,4300518,-,"L-Tyrosine, 24",Substructure
nab.lib_CILE_sybyl.mol2,CILE,64499cf7e5147c79cb909b2991140f2b683eb4efca56ddbfa1ba4ec23713b9cd,[NH][C@@H]([C@@H](C)CC)[C]([O-])[O-],9,31,22,73419,CHEBI:9189,Solanocapsine,Substructure
ff15ipq-m.lib_B3W_sybyl.mol2,B3W,0a96fd938c31837bc82e2d5d2d6d0da1e103be2a813082ca9b63967ae299c798,[NH][C@H](C[C][O])C[C]1[CH]Nc2ccccc12,15,16,1,2761550,CHEBI:181197,(3S)-3-amino-4-(1H-indol-3-yl)butanoic acid,Substructure
aminont19ipq_0.9_pol.lib_NILE_sybyl.mol2,NILE,a95426f8784ac882c0bff6064c392b4f76c6c422a68924e8cff10105638f153a,[NH3+][C@@H]([C@@H](C)CC)[C][O],8,9,1,7043901,CHEBI:58045,"(2S,3S)-2-ammonio-3-methylpentanoate",Substructure
amino19.lib_PRO_sybyl.mol2,PRO,7eb808d44180a66db4b58b01a9ff475a9534c6f327227a262d7f01971c9f3750,[N]1CCC[C@H]1[C][O],7,13,6,177745929,-,N-methoxymethanamine;(2S)-pyrrolidine-2-carboxylic acid;hydrochloride,Substructure
all_nucleic94.nmr.lib_DA3_sybyl.mol2,DA3,811ad28841415bd7d42d38595c4c4ab39d58385ad174791abfed092ff3c4343f,[P](=O)([O])OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)C[C@@H]1O,21,22,1,6076,CHEBI:17489,Cyclic AMP,Substructure
amino12.lib_MET_sybyl.mol2,MET,be1477ec92f9e7c959aff2ab9cb9ac8e462aa39bb2f841e434023b27af2e892e,[NH][C@@H](CCSC)[C][O],8,10,2,177745876,-,(2S)-2-amino-4-[methyl(sulfanyl)sulfonio]butanoate,Substructure
nab.lib_DGN_sybyl.mol2,DGN,4387cd319144d4e7bda273600e3f54b9ca33216cf7d73881c0b392d529bca040,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)C[C@@H]1O,19,19,0,135398592,CHEBI:17172,2'-deoxyguanosine,Substructure
aminont19ipq_0.9_pol.lib_NGLY_sybyl.mol2,NGLY,d1aa0a09631e4972af67fc2ea7b1f6725577221194c94269587d61d24d40580e,[NH3+]C[C][O],4,7,3,6419722,CHEBI:35235,(2R)-2-ammonio-3-mercaptopropanoate,Substructure
amino14ipq.lib_ARG_sybyl.mol2,ARG,d79c3894d21829fa0ae8ca1c3706bcd23c6f49ea75809ba10f96272acacd7d73,[NH][C@@H](CCCN[C](N)N)[C][O],11,12,1,12071049,-,2-AMINOHISTIDINE,Substructure
aminoct19ipq_0.9_vac.lib_CHID_sybyl.mol2,CHID,059ed679a249fcced34c852e93289e5a2842fd062630f89c35a9f9f2ee50be44,[NH][C@@H](CC1=CN=CN1)[C]([O-])[O-],11,11,0,162397890,-,(2S)-2-azaniumyl-1-hydroxy-3-(1H-imidazol-5-yl)propan-1-olate,Substructure
