"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"Cpptraj","Cpptraj","A program for processing molecular dynamics trajectories and data.","software","yes","106,124,142,154,173,263,296,337,344,357,370,376,403,492,525,574,640,656,739,768,775,785,838,854,866,887,893,897,901,905,913,915,946,966,994,1027,1159,1172,1177,1180,1198,1204,1209,1212,1331,1343,1345,1347,1349,1378,2081,2164,2187,2205,2215,2223,2775,2853,2942,2945,4112,4118,4267,4277,5043,5118,5123,5404,5687,5703,5776,5914,6022,6038,6067,7117,7211,7322,7941,8252,8480,8755,8800,8818,8837,8845,9071,9158,9493,9654,9734,9814,9934,10170,10349,10573,10584,10929,12232,12506","243"
"ptraj","ptraj","The predecessor program to cpptraj for trajectory analysis.","software","yes","118,636,858,934,1552,2960,5258,20005,20014,39970,40102,40395,42782,43861,47435,50809,53130,55049","18"
"OpenMP","OpenMP","A parallel programming model for shared-memory multiprocessing.","software|method","yes","126,156,997,1002,1006,1007,1009,1185,1200,1202,1206,1211,1213,1329,1334,12676,12753,12769,12770,12771,12772,45850,45892,45913,53812","28"
"MPI (Message Passing Interface)","MPI","A standardized message-passing system for parallel computing.","software|method","yes","126,128,167,866,996,997,1000,1006,1007,1014,1029,1038,1115,1130,1131,1133,1149,1170,1174,1179,9794,12601,12603,12604,12676,12769,12770,12771,13128,18016,18272,18278,18347,26264,26457,26481,26484,45850,45854,45891,45892,45913,50030","46"
"Topology","topology","Describes molecular connectivity, atom types, and parameters.","data format|model","yes","176,220,232,448,492,642,644,646,744,745,968,969,971,972,973,974,983,984,1657,1671,2419,2423,2749,2797,2825,6079,6347,6826,6853,6867,7869,7870,7878,8392,8416,8481,8487,8763,9287,9329,9337,9391,12511,13315,13652,13656,13657,13724,13914,14030,14038,14046,14054,14058,14190,14350,14370,14390,14410,14430,14530,14581,14582,14607,14608,14683,14684,14701,14702,14752,14802,14803,14828,14829,14904,14905,15033,15280,15367,15368,15401,15428,15501,15502,15544,15545,15574,15575,15649,15657,15673,15702,15750,15751,15780,15813,15839,15840,15877,15878","263"
"NetCDF (Network Common Data Form)","NetCDF","A set of interfaces for array-oriented data access.","data format","yes","175,3916,3963,3981,17090,17099,17166,18856,19613,19665,28248,39114,48256,48337,48342,52101","16"
"Xmgrace Format",".agr","A data file format for the Grace plotting tool.","data format","yes","184,185,3173,40848,50348","5"
"DCD (CHARMM Trajectory) Format",".dcd","A binary trajectory file format from CHARMM.","data format","yes","186,17230","2"
"Output Trajectory Command","outtraj","Command to specify and write output trajectory files.","method","yes","194,8006,8082,8273,8293,19159,21895,28621,37351,37362,37367,37431,37439,37452,37460,37486,42364,42385,42405,42429","20"
"Reference Structure","reference structure","A specific coordinate frame used for comparison or alignment.","data source|state","yes","204,214,2151,10146,10148,13343,13381,18042,18464,20573,20959,23208,23220,23232,23884,23888,23975,23977,24900,25718,25772,26816,26965,27398,27410,27422,31235,34216,34314,36223,36447,36892,37307,39293,39305,39317,39567,41752,41764,41776,42526,42593,43774,53334,53776,53789,55830","47"
"Root-Mean-Square Deviation","rmsd","A measure of the average distance between atoms.","measure|method","yes","211,215,805,823,2052,2106,2110,2114,2122,2146,2156,2969,4212,6260,6918,6923,11844,12824,20016,20019,20087,20095,20959,21047,22215,22224,22571,23692,24345,26816,27334,27481,27482,27519,28604,28625,34330,37456,37473,39131,39134,39142,39147,39197,39218,39222,39226,39230,39375,39379,39387,39439,39451,39475,39483,39502,39510,39512,39514,39536,39540,39544,39554,39560,39567,39568,39869,39914,39999,41702,41723,41727,41835,41838,41855,45075,47027,47036,47052,47056,47066,47076,47086,47807,47827,47835,47899,52997,53010,53015,53019,53030,53034,53042,53088,53089,53105,53135,53145,53174","117"
"Per-Residue Root-Mean-Square Deviation","per-residue RMSD","RMSD calculated individually for each residue in a selection.","measure|method","yes","215,20016,39375,39387,39475,39544","6"
"Strip Action","strip","An action to remove a specified set of atoms.","method|process","yes","223,2030,2043,8510,16391,16436,16444,16466,16479,19328,20026,20091,20115,22503,22719,25398,25785,25792,29535,30465,30485,30489,32983,41384,41388,41393,41462,41493,41502,41507,41511,41519,41536,42362,42364,42381,42401,42421,42425,53350,53357","41"
