"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"-update gpu","The velocities of the center of mass are now removed correctly in case of -update gpu","A fix for incorrect COM velocity removal when using GPU update","software","yes","39,105,106,116,733,825,831","7","Lower-priority member of semantic cluster led by row 1 (Champion: '-update gpu')"
".gitlab-ci.yml",".gitlab-ci.yml","The main configuration file for GitLab CI/CD pipelines","data format","yes","688,689","3","Lower-priority member of semantic cluster led by row 3 (Champion: '.gitlab-ci.yml')"
".pdo file",".pdo","A removed file format for WHAM output","data format","no","","0","Lower-priority member of semantic cluster led by row 6 (Champion: 'pdo file')"
"2D/3D dynamic load balancing","Fix error with 2D/3D dynamic load balancing","A fix for an error when a cell size was limited","software","yes","846","1","Lower-priority member of semantic cluster led by row 7 (Champion: '2D/3D dynamic load balancing')"
"32bit support","32bit support","Removed support for compiling GROMACS as a 32-bit application","software","yes","793","2","Lower-priority member of semantic cluster led by row 9 (Champion: '32bit support')"
"AdaptiveCpp","AdaptiveCpp","An open-source SYCL compiler","software","yes","13,14,16,18,19,23,28,29,30,32,38,40,98,695,722,724,729,739,742,753","38","Lower-priority member of semantic cluster led by row 11 (Champion: 'AdaptiveCpp')"
"addtogroup","\addtogroup","A Doxygen command to add a block of items to a documentation group","software","yes","678,680,683,684,685,686,688","17","Lower-priority member of semantic cluster led by row 13 (Champion: 'addtogroup')"
"AMBER","AMBER","A widely used family of molecular dynamics force fields","model","yes","3,44,51,118,246,349,354,462,473,483,484,485,486,551,592,723,854,859,907","39","Lower-priority member of semantic cluster led by row 16 (Champion: 'AMBER')"
"AMBER force field","AMBER","A family of force fields for biomolecular simulation","model|data source","yes","51","1","Lower-priority member of semantic cluster led by row 16 (Champion: 'AMBER')"
"AMD Zen 2 detection","Added AMD Zen 2 detection","A feature to detect this architecture and use tuned non-bonded kernels","software","yes","842","1","Lower-priority member of semantic cluster led by row 18 (Champion: 'AMD Zen 2 detection')"
"Anisotropic temperature factors","anisotropic temperature factors","Factors (Uij) describing atomic displacement in an anisotropic manner","measure","yes","261,262","3","Lower-priority member of semantic cluster led by row 20 (Champion: 'Anisotropic temperature factors')"
"ARMv7","ARMv7","A removed 32-bit ARM architecture","software","yes","793,812,813,833,847,912","10","Lower-priority member of semantic cluster led by row 22 (Champion: 'ARMv7')"
"Atom renaming database file","arn","File for translating atom names to force-field specific names","data format","no","","0","Lower-priority member of semantic cluster led by row 24 (Champion: 'Atom renaming database')"
