Term,Variable,Description,Category1|Category2|...
"GROMACS","GROMACS","A versatile package for molecular dynamics simulations","software"
"Molecular Dynamics","Molecular dynamics","A computer simulation method for analyzing physical movements","method|process"
"Force Field","Force field","A set of parameters for the potential energy of a system","model"
"Topology","Topology file (.top)","Describes molecule connectivity and interaction parameters","data format|model"
"Structure File",".gro, .pdb","Contains atomic coordinates, optionally velocities and box dimensions","data format"
"Run Input File",".tpr","A portable binary file containing all simulation parameters","data format"
"Trajectory File",".xtc, .trr, .tng","Stores atomic coordinates over time from a simulation","data format"
"Parameter File",".mdp","Controls the parameters for a molecular dynamics simulation","data format"
"Checkpoint File",".cpt","Saves the complete state of a simulation for restarting","data format"
"Index File",".ndx","Specifies custom groups of atoms for analysis or simulation","data format"
"Energy Minimization","Energy Minimization","A process to find a low-energy conformation of a molecule","process|method"
"Periodic Boundary Conditions","Periodic boundary conditions","An approximation to an infinite system by replicating a unit cell","model|method"
"Thermostat","Thermostats","An algorithm to control the temperature of a simulation","algorithm|model"
"Barostat","c-rescale barostat","An algorithm to control the pressure of a simulation","algorithm|model"
"mdrun","gmx mdrun","The main GROMACS program for running simulations","software"
"grompp","gmx grompp","The GROMACS preprocessor that creates a run input file","software"
"pdb2gmx","gmx pdb2gmx","Generates a GROMACS topology from a PDB structure file","software"
"editconf","gmx editconf","Edits the simulation box and converts structure file formats","software"
"solvate","gmx solvate","Solvates a molecule within a pre-equilibrated solvent box","software"
"trjconv","gmx trjconv","A tool for converting and manipulating trajectory files","software"
"CMake","CMake","The build system used to compile and install GROMACS","software"
"SIMD (Single Instruction, Multiple Data)","SIMD support","A class of parallel computers in a classification","method|model"
"SSE2","SSE2","A specific SIMD instruction set for x86 processors","model|method"
"AVX","AVX_256","A specific SIMD instruction set for x86 processors","model|method"
"AVX-512","AVX_512","A specific SIMD instruction set for x86 processors","model|method"
"GPU Acceleration","GPU support","Using graphics processing units to speed up calculations","method"
"CUDA","CUDA","NVIDIA's parallel computing platform and programming model","software|method"
